2025-10-30 16:32:31,150 - INFO - Loading collection from /Users/vigneshshanmugasundaram/Code/github/Search-Engine/data/collection.tsv and filtering by subset...
2025-10-30 16:32:31,199 - INFO - Processed 100000 lines, matched 317 passages...
2025-10-30 16:32:31,244 - INFO - Processed 200000 lines, matched 580 passages...
2025-10-30 16:32:31,298 - INFO - Processed 300000 lines, matched 771 passages...
2025-10-30 16:32:31,347 - INFO - Processed 400000 lines, matched 1010 passages...
2025-10-30 16:32:31,398 - INFO - Processed 500000 lines, matched 1242 passages...
2025-10-30 16:32:31,451 - INFO - Processed 600000 lines, matched 1467 passages...
2025-10-30 16:32:31,503 - INFO - Processed 700000 lines, matched 1645 passages...
2025-10-30 16:32:31,557 - INFO - Processed 800000 lines, matched 1856 passages...
2025-10-30 16:32:31,611 - INFO - Processed 900000 lines, matched 2059 passages...
2025-10-30 16:32:31,662 - INFO - Processed 1000000 lines, matched 2274 passages...
2025-10-30 16:32:31,712 - INFO - Processed 1100000 lines, matched 2598 passages...
2025-10-30 16:32:31,775 - INFO - Processed 1200000 lines, matched 2865 passages...
2025-10-30 16:32:32,004 - INFO - Processed 1300000 lines, matched 3170 passages...
2025-10-30 16:32:32,055 - INFO - Processed 1400000 lines, matched 3486 passages...
2025-10-30 16:32:32,101 - INFO - Processed 1500000 lines, matched 3750 passages...
2025-10-30 16:32:32,144 - INFO - Processed 1600000 lines, matched 3999 passages...
2025-10-30 16:32:32,186 - INFO - Processed 1700000 lines, matched 4252 passages...
2025-10-30 16:32:32,229 - INFO - Processed 1800000 lines, matched 4511 passages...
2025-10-30 16:32:32,283 - INFO - Processed 1900000 lines, matched 4790 passages...
2025-10-30 16:32:32,333 - INFO - Processed 2000000 lines, matched 5012 passages...
2025-10-30 16:32:32,382 - INFO - Processed 2100000 lines, matched 5264 passages...
2025-10-30 16:32:32,432 - INFO - Processed 2200000 lines, matched 5478 passages...
2025-10-30 16:32:32,481 - INFO - Processed 2300000 lines, matched 5721 passages...
2025-10-30 16:32:32,528 - INFO - Processed 2400000 lines, matched 5938 passages...
2025-10-30 16:32:32,579 - INFO - Processed 2500000 lines, matched 6156 passages...
2025-10-30 16:32:32,625 - INFO - Processed 2600000 lines, matched 6390 passages...
2025-10-30 16:32:32,675 - INFO - Processed 2700000 lines, matched 6671 passages...
2025-10-30 16:32:32,727 - INFO - Processed 2800000 lines, matched 6895 passages...
2025-10-30 16:32:32,784 - INFO - Processed 2900000 lines, matched 7112 passages...
2025-10-30 16:32:32,849 - INFO - Processed 3000000 lines, matched 7359 passages...
2025-10-30 16:32:32,906 - INFO - Processed 3100000 lines, matched 7593 passages...
2025-10-30 16:32:32,952 - INFO - Processed 3200000 lines, matched 7815 passages...
2025-10-30 16:32:33,005 - INFO - Processed 3300000 lines, matched 8041 passages...
2025-10-30 16:32:33,055 - INFO - Processed 3400000 lines, matched 8321 passages...
2025-10-30 16:32:33,107 - INFO - Processed 3500000 lines, matched 8528 passages...
2025-10-30 16:32:33,157 - INFO - Processed 3600000 lines, matched 8739 passages...
2025-10-30 16:32:33,212 - INFO - Processed 3700000 lines, matched 8964 passages...
2025-10-30 16:32:33,255 - INFO - Processed 3800000 lines, matched 9194 passages...
2025-10-30 16:32:33,302 - INFO - Processed 3900000 lines, matched 9397 passages...
2025-10-30 16:32:33,355 - INFO - Processed 4000000 lines, matched 9643 passages...
2025-10-30 16:32:33,404 - INFO - Processed 4100000 lines, matched 9855 passages...
2025-10-30 16:32:33,452 - INFO - Processed 4200000 lines, matched 10038 passages...
2025-10-30 16:32:33,501 - INFO - Processed 4300000 lines, matched 10224 passages...
2025-10-30 16:32:33,551 - INFO - Processed 4400000 lines, matched 10434 passages...
2025-10-30 16:32:33,600 - INFO - Processed 4500000 lines, matched 10671 passages...
2025-10-30 16:32:33,652 - INFO - Processed 4600000 lines, matched 10896 passages...
2025-10-30 16:32:33,705 - INFO - Processed 4700000 lines, matched 11100 passages...
2025-10-30 16:32:33,748 - INFO - Processed 4800000 lines, matched 11346 passages...
2025-10-30 16:32:33,800 - INFO - Processed 4900000 lines, matched 11554 passages...
2025-10-30 16:32:33,850 - INFO - Processed 5000000 lines, matched 11759 passages...
2025-10-30 16:32:33,905 - INFO - Processed 5100000 lines, matched 11965 passages...
2025-10-30 16:32:33,950 - INFO - Processed 5200000 lines, matched 12154 passages...
2025-10-30 16:32:33,995 - INFO - Processed 5300000 lines, matched 12373 passages...
2025-10-30 16:32:34,049 - INFO - Processed 5400000 lines, matched 12572 passages...
2025-10-30 16:32:34,098 - INFO - Processed 5500000 lines, matched 12777 passages...
2025-10-30 16:32:34,148 - INFO - Processed 5600000 lines, matched 12986 passages...
2025-10-30 16:32:34,193 - INFO - Processed 5700000 lines, matched 13234 passages...
2025-10-30 16:32:34,242 - INFO - Processed 5800000 lines, matched 13427 passages...
2025-10-30 16:32:34,288 - INFO - Processed 5900000 lines, matched 13631 passages...
2025-10-30 16:32:34,338 - INFO - Processed 6000000 lines, matched 13833 passages...
2025-10-30 16:32:34,390 - INFO - Processed 6100000 lines, matched 14057 passages...
2025-10-30 16:32:34,445 - INFO - Processed 6200000 lines, matched 14287 passages...
2025-10-30 16:32:34,504 - INFO - Processed 6300000 lines, matched 14555 passages...
2025-10-30 16:32:34,554 - INFO - Processed 6400000 lines, matched 14728 passages...
2025-10-30 16:32:34,603 - INFO - Processed 6500000 lines, matched 14945 passages...
2025-10-30 16:32:34,650 - INFO - Processed 6600000 lines, matched 15139 passages...
2025-10-30 16:32:34,698 - INFO - Processed 6700000 lines, matched 15369 passages...
2025-10-30 16:32:34,750 - INFO - Processed 6800000 lines, matched 15575 passages...
2025-10-30 16:32:34,805 - INFO - Processed 6900000 lines, matched 15744 passages...
2025-10-30 16:32:34,850 - INFO - Processed 7000000 lines, matched 15969 passages...
2025-10-30 16:32:34,892 - INFO - Processed 7100000 lines, matched 16240 passages...
2025-10-30 16:32:34,932 - INFO - Processed 7200000 lines, matched 16611 passages...
2025-10-30 16:32:34,978 - INFO - Processed 7300000 lines, matched 16963 passages...
2025-10-30 16:32:35,024 - INFO - Processed 7400000 lines, matched 17267 passages...
2025-10-30 16:32:35,070 - INFO - Processed 7500000 lines, matched 17609 passages...
2025-10-30 16:32:35,118 - INFO - Processed 7600000 lines, matched 17929 passages...
2025-10-30 16:32:35,172 - INFO - Processed 7700000 lines, matched 18186 passages...
2025-10-30 16:32:35,216 - INFO - Processed 7800000 lines, matched 18475 passages...
2025-10-30 16:32:35,258 - INFO - Processed 7900000 lines, matched 18754 passages...
2025-10-30 16:32:35,300 - INFO - Processed 8000000 lines, matched 19021 passages...
2025-10-30 16:32:35,342 - INFO - Processed 8100000 lines, matched 19298 passages...
2025-10-30 16:32:35,383 - INFO - Processed 8200000 lines, matched 19653 passages...
2025-10-30 16:32:35,425 - INFO - Processed 8300000 lines, matched 19935 passages...
2025-10-30 16:32:35,467 - INFO - Processed 8400000 lines, matched 20208 passages...
2025-10-30 16:32:35,509 - INFO - Processed 8500000 lines, matched 20455 passages...
2025-10-30 16:32:35,551 - INFO - Processed 8600000 lines, matched 20679 passages...
2025-10-30 16:32:35,593 - INFO - Processed 8700000 lines, matched 20976 passages...
2025-10-30 16:32:35,637 - INFO - Processed 8800000 lines, matched 21317 passages...
2025-10-30 16:32:35,656 - INFO - Collection loading completed in 4.51 seconds
2025-10-30 16:32:35,656 - INFO - Total lines processed: 8841823
2025-10-30 16:32:35,656 - INFO - Matched passages: 21419
2025-10-30 16:32:35,656 - INFO - Expected passages: 21419
2025-10-30 16:32:35,656 - INFO - Building BM25 index...
2025-10-30 16:32:35,821 - INFO - Indexed 10000 documents...
2025-10-30 16:32:35,997 - INFO - Indexed 20000 documents...
2025-10-30 16:32:36,020 - INFO - Index finalized with 21419 documents, avg length: 56.62
2025-10-30 16:32:36,020 - INFO - BM25 index built in 0.36 seconds
2025-11-05 22:55:33,913 - INFO - Starting BM25 index building process for MS MARCO subset
2025-11-05 22:55:33,913 - INFO - Output directory: /Users/vigneshshanmugasundaram/Code/github/Search-Engine/bm25
2025-11-05 22:55:33,914 - INFO - Loading passage IDs from /Users/vigneshshanmugasundaram/Code/github/Search-Engine/data/ms_marco/msmarco_passages_subset.tsv...
2025-11-05 22:55:34,058 - INFO - Loaded 1000000 unique passage IDs in 0.14 seconds
2025-11-05 22:55:34,058 - INFO - Loading collection from /Users/vigneshshanmugasundaram/Code/github/Search-Engine/data/collection.tsv and filtering by subset...
2025-11-05 22:55:34,121 - INFO - Processed 100000 lines, matched 10951 passages...
